year,sport
1960,Archery
1960,Athletics
1960,Dartchery
1960,Snooker
1960,Swimming
1960,Table tennis
1960,Wheelchair basketball
1960,Wheelchair fencing
1964,Archery
1964,Athletics
1964,Dartchery
1964,Snooker
1964,Swimming
1964,Table tennis
1964,Weightlifting
1964,Wheelchair basketball
1964,Wheelchair fencing
1968,Archery
1968,Dartchery
1968,Athletics
1968,Lawn bowls
1968,Snooker
1968,Swimming
1968,Table tennis
1968,Weightlifting
1968,Wheelchair basketball
1968,Wheelchair fencing
1972,Archery
1972,Athletics
1972,Dartchery
1972,Goalball
1972,Lawn bowls
1972,Snooker
1972,Swimming
1972,Table tennis
1972,Weightlifting
1972,Wheelchair basketball
1972,Wheelchair fencing
1976,Archery
1976,Athletics
1976,Dartchery
1976,Goalball
1976,Lawn bowls
1976,Shooting
1976,Snooker
1976,Swimming
1976,Table tennis
1976,Volleyball
1976,Weightlifting
1976,Wheelchair basketball
1976,Wheelchair fencing
1980,Archery
1980,Athletics
1980,Dartchery
1980,Goalball
1980,Lawn bowls
1980,Shooting
1980,Swimming
1980,Table tennis
1980,Volleyball
1980,Weightlifting
1980,Wheelchair basketball
1980,Wheelchair fencing
1980,Wrestling
1984,Archery
1984,Athletics
1984,Boccia
1984,Cycling
1984,Equestrian
1984,Football 7-a-side
1984,Goalball
1984,Lawn bowls
1984,Powerlifting
1984,Weightlifting
1984,Shooting
1984,Snooker
1984,Swimming
1984,Table tennis
1984,Volleyball
1984,Wheelchair basketball
1984,Wheelchair fencing
1984,Wrestling
1988,Archery
1988,Athletics
1988,Boccia
1988,Cycling
1988,Football 7-a-side
1988,Goalball
1988,Judo
1988,Lawn bowls
1988,Powerlifting
1988,Weightlifting
1988,Shooting
1988,Snooker
1988,Swimming
1988,Table tennis
1988,Volleyball
1988,Wheelchair basketball
1988,Wheelchair fencing
1988,Wheelchair tennis
1992,Archery
1992,Athletics
1992,Basketball ID
1992,Boccia
1992,Cycling
1992,Football 7-a-side
1992,Indoor Football
1992,Goalball
1992,Judo
1992,Powerlifting
1992,Weightlifting
1992,Shooting
1992,Swimming
1992,Table tennis
1992,Volleyball
1992,Wheelchair basketball
1992,Wheelchair fencing
1992,Wheelchair tennis
1996,Archery
1996,Athletics
1996,Boccia
1996,Cycling
1996,Equestrian
1996,Football 7-a-side
1996,Goalball
1996,Judo
1996,Lawn bowls
1996,Powerlifting
1996,Racquetball
1996,Sailing
1996,Shooting
1996,Swimming
1996,Table tennis
1996,Volleyball
1996,Wheelchair basketball
1996,Wheelchair fencing
1996,Wheelchair rugby
1996,Wheelchair tennis
2000,Archery
2000,Athletics
2000,Basketball ID
2000,Boccia
2000,Cycling
2000,Equestrian
2000,Football 7-a-side
2000,Goalball
2000,Judo
2000,Powerlifting
2000,Sailing
2000,Shooting
2000,Swimming
2000,Table tennis
2000,Volleyball
2000,Wheelchair basketball
2000,Wheelchair fencing
2000,Wheelchair rugby
2000,Wheelchair tennis
2004,Archery
2004,Athletics
2004,Boccia
2004,Cycling
2004,Equestrian
2004,Football 5-a-side
2004,Football 7-a-side
2004,Goalball
2004,Judo
2004,Powerlifting
2004,Sailing
2004,Shooting
2004,Swimming
2004,Table tennis
2004,Volleyball
2004,Wheelchair basketball
2004,Wheelchair fencing
2004,Wheelchair rugby
2004,Wheelchair tennis
2008,Archery
2008,Athletics
2008,Boccia
2008,Cycling
2008,Equestrian
2008,Football 5-a-side
2008,Football 7-a-side
2008,Goalball
2008,Judo
2008,Powerlifting
2008,Rowing
2008,Sailing
2008,Shooting
2008,Swimming
2008,Table tennis
2008,Volleyball
2008,Wheelchair basketball
2008,Wheelchair fencing
2008,Wheelchair rugby
2008,Wheelchair tennis
2012,Archery
2012,Athletics
2012,Boccia
2012,Road cycling
2012,Track cycling
2012,Equestrian
2012,Football 5-a-side
2012,Football 7-a-side
2012,Goalball
2012,Judo
2012,Powerlifting
2012,Rowing
2012,Sailing
2012,Shooting
2012,Swimming
2012,Table tennis
2012,Volleyball
2012,Wheelchair basketball
2012,Wheelchair fencing
2012,Wheelchair rugby
2012,Wheelchair tennis
2016,Archery
2016,Athletics
2016,Boccia
2016,Paracanoe
2016,Road cycling
2016,Track cycling
2016,Equestrian
2016,Football 5-a-side
2016,Football 7-a-side
2016,Goalball
2016,Judo
2016,Paratriathlon
2016,Powerlifting
2016,Rowing
2016,Sailing
2016,Shooting
2016,Swimming
2016,Table tennis
2016,Volleyball
2016,Wheelchair basketball
2016,Wheelchair fencing
2016,Wheelchair rugby
2016,Wheelchair tennis